ticket_id,ticket_text,category,priority,department,sentiment,root_cause,resolution_steps,ticket_status,created_at,resolved_at,recommended_action
TKT-3839,"Security audit findings need to be addressed by end of week. Deadline is today, really need help. Terrible experience, I expect better from our IT team.",Security,High,Security Team,Frustrated,Brute force attack from foreign IP — weak password policy,Isolated workstation. Removed cryptominer process. Blocked C2 server IP in firewall. Patched browser to latest version.,Closed,08-03-2026 23:40,09-03-2026 03:08,Priority escalation to Security Team — Assign senior engineer
TKT-3222,"Need to archive old records older than 3 years. Client demo in 1 hour, please help! Let me know if you need more info.",Database,High,DBA Team,Neutral,Replication lag causing stale data on reporting replica,Rewrote query using CTEs and added pagination (LIMIT 1000). Query timeout resolved. Dashboard loading in 2s.,Closed,17-05-2026 03:30,17-05-2026 05:42,Assign to DBA Team — Target 2-hour resolution
TKT-1561,ASAP: Zoom keeps crashing during screen sharing.,Software/Application,High,Application Support,Neutral,Group policy restricting software installation for standard users,Created software request in ServiceNow. Approved by manager. Deployed VS Code via SCCM. Verified installation.,Closed,12-05-2026 07:27,12-05-2026 09:10,Assign to Application Support — Target 2-hour resolution
TKT-4431,"Request for an IT orientation session for new joiners. Production is completely down! Just a small request, you guys are doing great work!",General IT,Critical,Service Desk,Positive,Projector HDMI port not compatible with USB-C laptop — adapter needed,"Walked user through laptop setup: Wi-Fi, VPN, email, Teams, and printer. Provided setup checklist document.",Closed,03-04-2026 23:30,04-04-2026 01:19,IMMEDIATE ESCALATION to Service Desk — Page on-call engineer
TKT-0023,"Can someone check the network cables in conference room C? Just curious about this, no hurry.",Network/VPN,Low,Infra Team,Neutral,ISP upstream link degradation,Expanded DHCP scope range and reduced lease time from 8 hours to 4 hours. Released stale leases.,Closed,02-05-2026 04:22,02-05-2026 19:24,Queue for Infra Team — Respond within 24 hours
TKT-4176,"Received a suspicious phishing email claiming to be from HR. Low priority, can wait until next week.",Security,Low,Security Team,Neutral,Developer deployed API without authentication middleware,Added web app to vulnerability scanner scope. Ran initial scan. Found 3 medium-risk issues — remediation tickets created.,Closed,23-05-2026 05:07,23-05-2026 14:51,Queue for Security Team — Respond within 24 hours
TKT-0579,"CRITICAL: Cannot access corporate network from home, VPN shows authentication error. Can't wait any longer!",Network/VPN,Critical,Infra Team,Urgent,DNS misconfiguration after recent network update,Renewed SSL certificate on VPN concentrator and restarted the VPN service. Tested remote connectivity.,Closed,26-04-2026 02:11,26-04-2026 03:45,IMMEDIATE ESCALATION to Infra Team — Page on-call engineer
TKT-1126,"My laptop screen is flickering badly, can't work at all. Would appreciate if this could be fixed today. Let me know if you need more info.",Hardware,Medium,Desktop Support,Neutral,Trackpad flex cable loose connection,Replaced battery with OEM unit (65Wh). Calibrated battery. Now showing 6+ hours estimated life.,Closed,05-04-2026 04:01,05-04-2026 08:32,Queue for Desktop Support — Standard SLA (8 hours)
TKT-4562,What are the approved cloud storage solutions? Would appreciate if this could be fixed today. Need immediate assistance!,General IT,Medium,Service Desk,Urgent,BYOD policy document not easily discoverable on intranet,Pushed MDM profile to phone via Intune. Configured company email and Teams. Verified sync working.,Closed,27-05-2026 23:55,28-05-2026 08:56,Queue for Service Desk — Standard SLA (8 hours)
TKT-0499,Need to whitelist a new IP range for our vendor's API. I have a workaround but it's slowing me down.,Network/VPN,Medium,Infra Team,Neutral,Wi-Fi access point hardware failure,"Contacted ISP support, they rerouted traffic through backup link. Monitored latency for 1 hour.",Closed,18-05-2026 05:41,18-05-2026 15:14,Queue for Infra Team — Standard SLA (8 hours)
TKT-0069,"Network switch in server room B2 appears to be malfunctioning. No rush, whenever you get a chance. Thanks in advance.",Network/VPN,Low,Infra Team,Neutral,Incorrect VLAN tagging after maintenance window,Replaced faulty Wi-Fi access point with spare unit. Configured SSID and verified coverage on floor.,Reopened,11-03-2026 00:36,12-03-2026 21:07,Queue for Infra Team — Respond within 24 hours
TKT-4203,"Unauthorized login attempt detected on my account from Russia. Deadline is today, really need help. Appreciate the quick turnaround last time!",Security,High,Security Team,Positive,Brute force attack from foreign IP — weak password policy,Added web app to vulnerability scanner scope. Ran initial scan. Found 3 medium-risk issues — remediation tickets created.,Reopened,22-05-2026 04:23,22-05-2026 06:36,Assign to Security Team — Target 2-hour resolution
TKT-1238,"Need a second monitor for my desk, approved by manager. Need this fixed within the hour. Appreciate the quick turnaround last time!",Hardware,High,Desktop Support,Positive,Motherboard power regulation IC failure,Replaced keyboard with OEM part (P/N: KB-4521). Tested all keys and function keys. Working normally.,Closed,16-05-2026 05:22,16-05-2026 07:11,Assign to Desktop Support — Target 2-hour resolution
TKT-1712,The inventory management tool is showing incorrect data. Please look into this when you get a chance.,Software/Application,Medium,Application Support,Neutral,Java heap space configured too low in application config,Updated SAP GUI to patch 5 which fixes the memory leak. Cleared SAP cache. Tested report generation successfully.,Closed,29-04-2026 05:37,29-04-2026 14:40,Queue for Application Support — Standard SLA (8 hours)
TKT-0591,Site-to-site VPN tunnel between Mumbai and Pune office is down. Not super urgent but affecting my productivity. Let me know if you need more info.,Network/VPN,Medium,Infra Team,Neutral,Investigation in progress,Pending — ticket assigned to engineer,Open,05-04-2026 23:52,,Queue for Infra Team — Standard SLA (8 hours)
TKT-2375,Access request for the company's knowledge management portal. Not super urgent but affecting my productivity. Let me know if you need more info.,Account/Access,Medium,IAM Team,Neutral,IAM role policy missing required permissions for console access,Whitelisted password reset email domain in spam filter. Resent reset link. User confirmed receipt.,Closed,15-03-2026 01:46,15-03-2026 13:25,Queue for IAM Team — Standard SLA (8 hours)
TKT-4558,"Can I use my personal laptop for office work? Can't do any work until this is resolved. Terrible experience, I expect better from our IT team.",General IT,High,Service Desk,Frustrated,IT orientation not scheduled by HR for the new batch,Shared updated SharePoint link to IT policy documents. Added shortcut on user's desktop for quick access.,Closed,11-05-2026 02:35,11-05-2026 03:37,Priority escalation to Service Desk — Assign senior engineer
TKT-0933,"Docking station not detecting external monitors. Low priority, can wait until next week.",Hardware,Low,Desktop Support,Neutral,Wireless mouse receiver USB port malfunction,Opened laptop chassis and reseated display cable. Tested with external monitor to confirm fix. Flickering resolved.,Closed,29-03-2026 06:17,30-03-2026 07:41,Queue for Desktop Support — Respond within 24 hours
TKT-0538,"Wi-Fi password changed and nobody was informed, can't connect. No rush, whenever you get a chance.",Network/VPN,Low,Infra Team,Neutral,ISP upstream link degradation,Restarted VPN gateway service and increased connection pool limit from 100 to 250. Monitored for 30 minutes.,Closed,04-05-2026 00:36,04-05-2026 04:56,Queue for Infra Team — Respond within 24 hours
TKT-4015,Need to enable disk encryption on all company laptops. Not super urgent but affecting my productivity. Let me know if you need more info.,Security,Medium,Security Team,Neutral,Developer deployed API without authentication middleware,Added JWT authentication middleware to API. Deployed fix to production. Verified with Postman — 401 for unauthenticated requests.,Reopened,26-04-2026 02:03,26-04-2026 10:38,Queue for Security Team — Standard SLA (8 hours)
TKT-4587,What are the approved cloud storage solutions? Would appreciate if this could be fixed today.,General IT,Medium,Service Desk,Neutral,Shared drive folder structure not documented for new team members,"Walked user through laptop setup: Wi-Fi, VPN, email, Teams, and printer. Provided setup checklist document.",Closed,06-04-2026 07:57,06-04-2026 12:11,Queue for Service Desk — Standard SLA (8 hours)
TKT-2428,"My account got disabled, I am unable to login since morning. Would appreciate if this could be fixed today.",Account/Access,Medium,IAM Team,Neutral,Investigation in progress,Pending — ticket assigned to engineer,Open,04-04-2026 05:14,,Queue for IAM Team — Standard SLA (8 hours)
TKT-3262,"Migration script failed midway, database is in inconsistent state. Please look into this when you get a chance.",Database,Medium,DBA Team,Neutral,Unoptimized query with multiple nested subqueries and no limit clause,Rewrote stored procedure using set-based operations. Execution time reduced from 12 minutes to 8 seconds.,Reopened,15-04-2026 01:27,15-04-2026 07:41,Queue for DBA Team — Standard SLA (8 hours)
TKT-2628,"Not receiving emails from external clients since yesterday. Need this fixed within the hour. Just a small request, you guys are doing great work!",Email/Communication,High,Collaboration Team,Positive,Investigation in progress,Pending — ticket assigned to engineer,Open,14-03-2026 04:17,,Assign to Collaboration Team — Target 2-hour resolution
TKT-2170,Need temporary elevated privileges for system maintenance. Boss is escalating this already.,Account/Access,High,IAM Team,Frustrated,Access request not processed — missing manager approval in workflow,Reset NTFS permissions on shared folder. Re-applied inheritance. User confirmed access to all subfolders.,Closed,15-03-2026 22:07,15-03-2026 23:15,Priority escalation to IAM Team — Assign senior engineer
TKT-4204,Need security clearance for a new vendor accessing our systems. Not super urgent but affecting my productivity. Let me know if you need more info.,Security,Medium,Security Team,Neutral,Account credentials compromised via credential stuffing attack,Corrected GPO scope to include affected OU. Forced gpupdate. Verified USB ports blocked on test workstation.,Closed,28-03-2026 02:47,28-03-2026 14:08,Queue for Security Team — Standard SLA (8 hours)
TKT-3042,"Teams video background effects are not available on my device. Just curious about this, no hurry. Terrible experience, I expect better from our IT team.",Email/Communication,Low,Collaboration Team,Frustrated,Exchange ActiveSync profile corrupted on the device,Submitted delisting request for mail server IP. Configured SPF/DKIM records. External emails flowing.,Closed,12-05-2026 01:08,13-05-2026 04:42,Queue for Collaboration Team — Respond within 24 hours
TKT-2403,"My account got disabled, I am unable to login since morning. Just curious about this, no hurry.",Account/Access,Low,IAM Team,Neutral,IAM role policy missing required permissions for console access,Updated SAML attribute mapping in IdP configuration. Tested SSO flow. Salesforce login working.,Closed,17-03-2026 22:50,18-03-2026 09:05,Queue for IAM Team — Respond within 24 hours
TKT-0710,Headset microphone not being detected in Teams calls. This needs IMMEDIATE attention! Let me know if you need more info.,Hardware,Critical,Desktop Support,Neutral,Motherboard power regulation IC failure,Opened laptop and reseated trackpad flex cable. Applied Kapton tape for secure connection. Trackpad responsive.,Closed,19-04-2026 04:37,19-04-2026 06:17,IMMEDIATE ESCALATION to Desktop Support — Page on-call engineer
TKT-4423,How to map a network drive on my new laptop? Please look into this when you get a chance. Thanks in advance.,General IT,Medium,Service Desk,Neutral,Investigation in progress,Pending — ticket assigned to engineer,Open,04-06-2026 01:25,,Queue for Service Desk — Standard SLA (8 hours)
TKT-2129,New employee needs Active Directory account and email setup. I have a workaround but it's slowing me down. Please help ASAP!,Account/Access,Medium,IAM Team,Urgent,Account auto-disabled by HR integration due to incorrect termination date,Updated SAML attribute mapping in IdP configuration. Tested SSO flow. Salesforce login working.,Closed,08-04-2026 01:37,08-04-2026 04:34,Queue for IAM Team — Standard SLA (8 hours)
TKT-2275,Access request for the company's knowledge management portal. This is just a general question. Let me know if you need more info.,Account/Access,Low,IAM Team,Neutral,SAML assertion attribute mapping mismatch after IdP update,Forced AD replication between DCs using repadmin /syncall. Account visible across all sites within 5 minutes.,Closed,08-04-2026 07:49,09-04-2026 12:47,Queue for IAM Team — Respond within 24 hours
TKT-4073,"Third-party library vulnerability CVE-2024-XXXX affecting our app. Just curious about this, no hurry. Happy to provide more details if needed.",Security,Low,Security Team,Neutral,SSL certificate auto-renewal job failed due to DNS validation error,Isolated workstation. Removed cryptominer process. Blocked C2 server IP in firewall. Patched browser to latest version.,Closed,05-06-2026 07:00,06-06-2026 02:44,Queue for Security Team — Respond within 24 hours
TKT-3836,Data breach suspected — customer data may have been leaked. This needs IMMEDIATE attention! Every minute counts!,Security,Critical,Security Team,Urgent,Developer deployed API without authentication middleware,Blocked IP range in firewall. Force-reset user password. Enabled account lockout policy (5 attempts / 15 min).,Reopened,13-04-2026 00:37,13-04-2026 01:00,IMMEDIATE ESCALATION to Security Team — Page on-call engineer
TKT-2331,Need admin access to AWS console for deployment. Not super urgent but affecting my productivity. Love how efficient the IT team has been lately!,Account/Access,Medium,IAM Team,Positive,IAM role policy missing required permissions for console access,Corrected termination date in HR system. Re-enabled AD account. Verified all group memberships restored.,Closed,07-03-2026 02:37,07-03-2026 08:42,Queue for IAM Team — Standard SLA (8 hours)
TKT-0589,"VPN license expired, cannot work remotely anymore. No rush, whenever you get a chance. Thanks in advance.",Network/VPN,Low,Infra Team,Neutral,VPN gateway overloaded due to high concurrent connections,"Contacted ISP support, they rerouted traffic through backup link. Monitored latency for 1 hour.",Closed,24-03-2026 04:58,24-03-2026 10:11,Queue for Infra Team — Respond within 24 hours
TKT-0025,"Port forwarding request for development server on port 8080. All users are affected, total outage! Please help ASAP!",Network/VPN,Critical,Infra Team,Urgent,Firewall rule blocking outbound traffic on port 443,Flushed DNS cache and reconfigured DNS servers to 8.8.8.8 and 8.8.4.4. Verified connectivity restored.,Closed,18-04-2026 23:25,19-04-2026 00:12,IMMEDIATE ESCALATION to Infra Team — Page on-call engineer
TKT-3241,"Table locking issues causing application timeouts. Can't do any work until this is resolved. I've raised this issue 3 times already, very disappointed.",Database,High,DBA Team,Frustrated,Investigation in progress,Pending — ticket assigned to engineer,Open,25-03-2026 05:59,,Priority escalation to DBA Team — Assign senior engineer
TKT-2408,"Cannot access the shared folder, getting permission denied. Not super urgent but affecting my productivity. Can't wait any longer!",Account/Access,Medium,IAM Team,Urgent,Account lockout policy triggered after 5 failed login attempts,Processed access request with manager's verbal approval. Granted read-only DB access. Logged in audit trail.,Closed,14-05-2026 23:32,15-05-2026 01:34,Queue for IAM Team — Standard SLA (8 hours)
TKT-2283,"High Priority: Cannot access the shared folder, getting permission denied. Need immediate assistance!",Account/Access,High,IAM Team,Urgent,NTFS permission inheritance broken on shared folder,"Unlocked account in Active Directory. Reset password. Advised user on password policy (12+ chars, no reuse).",Reopened,11-03-2026 05:35,11-03-2026 08:09,Priority escalation to IAM Team — Assign senior engineer
TKT-2103,"My account got disabled, I am unable to login since morning. Not super urgent but affecting my productivity.",Account/Access,Medium,IAM Team,Neutral,IAM role policy missing required permissions for console access,Processed access request with manager's verbal approval. Granted read-only DB access. Logged in audit trail.,Closed,26-03-2026 01:53,26-03-2026 11:03,Queue for IAM Team — Standard SLA (8 hours)
TKT-0868,"Need to replace the broken screen on my Dell Latitude. Just curious about this, no hurry. Thanks in advance.",Hardware,Low,Desktop Support,Neutral,Investigation in progress,Pending — ticket assigned to engineer,Open,01-05-2026 01:20,,Queue for Desktop Support — Respond within 24 hours
TKT-4242,"Employee reported clicking on a phishing link, need investigation. Would appreciate if this could be fixed today. Appreciate the quick turnaround last time!",Security,Medium,Security Team,Positive,Vendor access request pending security review,Reset account password. Revoked all active sessions. Enabled MFA. Reviewed audit logs for unauthorized actions.,Closed,07-05-2026 03:24,07-05-2026 07:52,Queue for Security Team — Standard SLA (8 hours)
TKT-3203,SQL query timeout errors on the reporting dashboard. I have a workaround but it's slowing me down.,Database,Medium,DBA Team,Neutral,Replication lag causing stale data on reporting replica,Resized oplog to 50GB. Performed initial sync on secondary. Replica set healthy with 0 lag.,Closed,20-05-2026 22:16,21-05-2026 00:56,Queue for DBA Team — Standard SLA (8 hours)
TKT-1819,"Docker containers keep crashing on the dev server. Low priority, can wait until next week.",Software/Application,Low,Application Support,Neutral,Investigation in progress,Pending — ticket assigned to engineer,Open,12-03-2026 00:43,,Queue for Application Support — Respond within 24 hours
TKT-0488,"Wi-Fi password changed and nobody was informed, can't connect. I have a workaround but it's slowing me down. Really frustrated with the IT support response time.",Network/VPN,Medium,Infra Team,Frustrated,Incorrect VLAN tagging after maintenance window,Restarted VPN gateway service and increased connection pool limit from 100 to 250. Monitored for 30 minutes.,Reopened,11-03-2026 07:48,11-03-2026 12:41,"Assign to Infra Team — Follow up with user, target 4-hour resolution"
TKT-0855,"Printer on 4th floor is jamming constantly, need repair. I have a workaround but it's slowing me down. Happy to provide more details if needed.",Hardware,Medium,Desktop Support,Neutral,Investigation in progress,Pending — ticket assigned to engineer,Open,26-04-2026 04:48,,Queue for Desktop Support — Standard SLA (8 hours)
TKT-4308,Our SSL certificate for the customer portal expires tomorrow! Please look into this when you get a chance. Thanks in advance.,Security,Medium,Security Team,Neutral,Workstation infected with cryptominer via drive-by download,Blocked IP range in firewall. Force-reset user password. Enabled account lockout policy (5 attempts / 15 min).,Closed,27-04-2026 05:24,27-04-2026 11:38,Queue for Security Team — Standard SLA (8 hours)
TKT-2471,"Bulk user creation needed for 50 new interns joining Monday. Low priority, can wait until next week.",Account/Access,Low,IAM Team,Neutral,Account lockout policy triggered after 5 failed login attempts,Processed access request with manager's verbal approval. Granted read-only DB access. Logged in audit trail.,Reopened,31-03-2026 08:54,01-04-2026 09:23,Queue for IAM Team — Respond within 24 hours
TKT-2174,LDAP authentication failing for our internal application. Please look into this when you get a chance.,Account/Access,Medium,IAM Team,Neutral,Account auto-disabled by HR integration due to incorrect termination date,Whitelisted password reset email domain in spam filter. Resent reset link. User confirmed receipt.,Closed,31-03-2026 23:10,01-04-2026 06:14,Queue for IAM Team — Standard SLA (8 hours)
TKT-1071,"My laptop's SSD seems to be failing, very slow boot times. Boss is escalating this already. This is unacceptable, I can't believe this is still broken.",Hardware,High,Desktop Support,Frustrated,Faulty display cable connection inside the laptop chassis,Replaced battery with OEM unit (65Wh). Calibrated battery. Now showing 6+ hours estimated life.,Reopened,11-04-2026 06:29,11-04-2026 07:41,Priority escalation to Desktop Support — Assign senior engineer
TKT-3804,"Need security clearance for a new vendor accessing our systems. I have a workaround but it's slowing me down. I've raised this issue 3 times already, very disappointed.",Security,Medium,Security Team,Frustrated,Workstation infected with cryptominer via drive-by download,Isolated workstation. Removed cryptominer process. Blocked C2 server IP in firewall. Patched browser to latest version.,Closed,21-03-2026 03:06,21-03-2026 12:36,"Assign to Security Team — Follow up with user, target 4-hour resolution"
TKT-2953,"Not receiving emails from external clients since yesterday. No rush, whenever you get a chance. Happy to provide more details if needed.",Email/Communication,Low,Collaboration Team,Neutral,Exchange ActiveSync profile corrupted on the device,Confirmed Microsoft service incident SI-12345. Workaround: use Teams web. Service restored after 2 hours.,Closed,19-05-2026 05:35,19-05-2026 16:05,Queue for Collaboration Team — Respond within 24 hours
TKT-1971,Bulk user creation needed for 50 new interns joining Monday. I have a workaround but it's slowing me down. Love how efficient the IT team has been lately!,Account/Access,Medium,IAM Team,Positive,Access request not processed — missing manager approval in workflow,"Completed offboarding checklist. Disabled AD account. Revoked VPN, email, and application access.",Reopened,18-03-2026 00:42,18-03-2026 05:47,Queue for IAM Team — Standard SLA (8 hours)
TKT-1295,Need license renewal for our project management tool. Would appreciate if this could be fixed today. Love how efficient the IT team has been lately!,Software/Application,Medium,Application Support,Positive,License server unreachable due to network segmentation change,Increased JVM heap from 512MB to 2GB in app config. Restarted application. No more OOM errors.,Closed,08-04-2026 22:10,09-04-2026 03:49,Queue for Application Support — Standard SLA (8 hours)
TKT-0623,EMERGENCY: Can someone check the network cables in conference room C? This is extremely urgent!,Network/VPN,Critical,Infra Team,Urgent,Investigation in progress,Pending — ticket assigned to engineer,Open,03-05-2026 06:39,,IMMEDIATE ESCALATION to Infra Team — Page on-call engineer
TKT-0667,Laptop is overheating and shutting down during video calls. Please look into this when you get a chance.,Hardware,Medium,Desktop Support,Neutral,Battery cell degradation beyond 80% wear level,Diagnosed motherboard failure. Replaced motherboard under warranty. Restored user data from backup.,Closed,14-04-2026 07:54,14-04-2026 17:22,Queue for Desktop Support — Standard SLA (8 hours)
TKT-1906,Need admin access to AWS console for deployment. Would appreciate if this could be fixed today. Let me know if you need more info.,Account/Access,Medium,IAM Team,Neutral,NTFS permission inheritance broken on shared folder,Corrected termination date in HR system. Re-enabled AD account. Verified all group memberships restored.,Closed,29-04-2026 04:41,29-04-2026 06:46,Queue for IAM Team — Standard SLA (8 hours)
TKT-0820,"Scanner in HR department is not scanning properly. Just curious about this, no hurry.",Hardware,Low,Desktop Support,Neutral,Motherboard power regulation IC failure,Rolled back GPU driver to version 31.0.15.4601. Ran stress test for 2 hours. No BSOD recurrence.,Closed,11-04-2026 06:20,12-04-2026 07:17,Queue for Desktop Support — Respond within 24 hours
TKT-3917,"Employee reported clicking on a phishing link, need investigation. Would appreciate if this could be fixed today. Let me know if you need more info.",Security,Medium,Security Team,Neutral,Investigation in progress,Pending — ticket assigned to engineer,Open,21-03-2026 06:06,,Queue for Security Team — Standard SLA (8 hours)
TKT-0127,"VPN keeps disconnecting every 5 minutes, can't attend any meetings. This needs IMMEDIATE attention! Every minute counts!",Network/VPN,Critical,Infra Team,Urgent,Firewall rule blocking outbound traffic on port 443,"Contacted ISP support, they rerouted traffic through backup link. Monitored latency for 1 hour.",Closed,14-04-2026 02:08,14-04-2026 03:30,IMMEDIATE ESCALATION to Infra Team — Page on-call engineer
TKT-2876,"Outlook is not syncing emails, last sync was 3 hours ago. Not urgent at all, just planning ahead. Let me know if you need more info.",Email/Communication,Low,Collaboration Team,Neutral,Network jitter exceeding 150ms causing audio packet loss,Created distribution list via Exchange admin center. Added 25 members. Test email delivered to all.,Closed,23-03-2026 01:25,23-03-2026 23:23,Queue for Collaboration Team — Respond within 24 hours
TKT-1571,"The automated testing suite is producing false positives. Not super urgent but affecting my productivity. Great job on the last fix, hoping for the same this time.",Software/Application,Medium,Application Support,Positive,Java heap space configured too low in application config,"Identified runaway background job on HR portal server. Killed process, added resource limits. Load normalized.",Reopened,24-05-2026 04:10,24-05-2026 16:06,Queue for Application Support — Standard SLA (8 hours)
TKT-1944,"Unable to access the code repository, getting 403 Forbidden. It's causing some inconvenience but I can manage for now. Please help ASAP!",Account/Access,Medium,IAM Team,Urgent,Offboarding workflow incomplete — manual step was missed,Whitelisted password reset email domain in spam filter. Resent reset link. User confirmed receipt.,Closed,20-04-2026 00:01,20-04-2026 06:43,Queue for IAM Team — Standard SLA (8 hours)
TKT-3393,"Oracle license renewal due next month, need to plan. Just curious about this, no hurry.",Database,Low,DBA Team,Neutral,Backup storage volume reached capacity — backup job failed silently,Identified connection leak in application code. Fixed with try-finally block. Pool usage dropped from 100% to 30%.,Reopened,23-04-2026 06:00,24-04-2026 21:43,Queue for DBA Team — Respond within 24 hours
TKT-3209,"Need to optimize slow-running stored procedures. Please look into this when you get a chance. I've raised this issue 3 times already, very disappointed.",Database,Medium,DBA Team,Frustrated,Backup storage volume reached capacity — backup job failed silently,Ran cleanup script to remove orphaned temp tables. Purged transaction logs older than 7 days. Freed 200GB.,Closed,16-04-2026 00:15,16-04-2026 11:02,"Assign to DBA Team — Follow up with user, target 4-hour resolution"
TKT-3892,"Important: Employee reported clicking on a phishing link, need investigation. Love how efficient the IT team has been lately!",Security,High,Security Team,Positive,User downloaded infected attachment from personal email,Fixed DNS TXT record for domain validation. Renewed SSL cert manually. Configured cert-manager for auto-renewal.,Closed,09-05-2026 05:37,09-05-2026 07:28,Assign to Security Team — Target 2-hour resolution
TKT-1632,"Application is throwing 'out of memory' error constantly. Not urgent at all, just planning ahead. Can't wait any longer!",Software/Application,Low,Application Support,Urgent,Zoom GPU acceleration conflicting with integrated graphics driver,"Identified runaway background job on HR portal server. Killed process, added resource limits. Load normalized.",Closed,15-03-2026 07:11,15-03-2026 17:38,Queue for Application Support — Respond within 24 hours
TKT-3183,Automated database backup failed last night. This is just a general question.,Database,Low,DBA Team,Neutral,Stored procedure using cursor-based iteration instead of set operations,Identified connection leak in application code. Fixed with try-finally block. Pool usage dropped from 100% to 30%.,Reopened,10-03-2026 04:55,10-03-2026 12:47,Queue for DBA Team — Respond within 24 hours
TKT-4100,"Incident response plan needs to be updated and tested. Not urgent at all, just planning ahead.",Security,Low,Security Team,Neutral,Workstation infected with cryptominer via drive-by download,Blocked IP range in firewall. Force-reset user password. Enabled account lockout policy (5 attempts / 15 min).,Closed,06-05-2026 06:32,06-05-2026 16:47,Queue for Security Team — Respond within 24 hours
TKT-4272,Security awareness training completion report needed for audit. I have a workaround but it's slowing me down. Need immediate assistance!,Security,Medium,Security Team,Urgent,Account credentials compromised via credential stuffing attack,Isolated laptop from network. Ran full malware scan and removed trojan. Re-imaged machine. Restored data from backup.,Closed,01-04-2026 22:18,02-04-2026 03:45,Queue for Security Team — Standard SLA (8 hours)
TKT-2817,ASAP: Teams video background effects are not available on my device.,Email/Communication,High,Collaboration Team,Neutral,Teams desktop client cache corrupted after update,Switched user to wired connection for calls. QoS policy applied for Teams traffic. Audio quality improved.,Closed,05-04-2026 08:24,05-04-2026 10:23,Assign to Collaboration Team — Target 2-hour resolution
TKT-4883,Can I use my personal laptop for office work? Please look into this when you get a chance. Thanks in advance.,General IT,Medium,Service Desk,Neutral,Shared drive folder structure not documented for new team members,Shared updated SharePoint link to IT policy documents. Added shortcut on user's desktop for quick access.,Closed,28-05-2026 02:03,28-05-2026 04:42,Queue for Service Desk — Standard SLA (8 hours)
TKT-2846,"Teams meeting recordings are not saving to SharePoint. Not urgent at all, just planning ahead.",Email/Communication,Low,Collaboration Team,Neutral,Mailbox exceeded 50GB quota — archiving policy not applied,Applied auto-archive policy for emails older than 1 year. Freed 15GB. Mailbox operational.,Closed,09-04-2026 02:02,09-04-2026 17:07,Queue for Collaboration Team — Respond within 24 hours
TKT-2030,"Important: MFA is not working, not receiving OTP on my phone.",Account/Access,High,IAM Team,Neutral,Offboarding workflow incomplete — manual step was missed,Corrected termination date in HR system. Re-enabled AD account. Verified all group memberships restored.,Closed,26-05-2026 00:32,26-05-2026 01:54,Assign to IAM Team — Target 2-hour resolution
TKT-2662,High Priority: Auto-replies are not working for my out-of-office message.,Email/Communication,High,Collaboration Team,Neutral,External email relay IP blacklisted by recipient's spam filter,Submitted delisting request for mail server IP. Configured SPF/DKIM records. External emails flowing.,Closed,27-03-2026 04:13,27-03-2026 06:57,Assign to Collaboration Team — Target 2-hour resolution
TKT-3013,Unable to attach files larger than 10MB in Outlook. I have a workaround but it's slowing me down. Happy to provide more details if needed.,Email/Communication,Medium,Collaboration Team,Neutral,Mailbox exceeded 50GB quota — archiving policy not applied,Reconfigured calendar delegate permissions via Exchange admin center. Calendar invites now visible.,Closed,06-04-2026 01:10,06-04-2026 12:29,Queue for Collaboration Team — Standard SLA (8 hours)
TKT-2108,"Cannot access the shared folder, getting permission denied. Would appreciate if this could be fixed today. Every minute counts!",Account/Access,Medium,IAM Team,Urgent,Investigation in progress,Pending — ticket assigned to engineer,Open,03-06-2026 07:54,,Queue for IAM Team — Standard SLA (8 hours)
TKT-4735,Need help organizing files on the shared drive. It's causing some inconvenience but I can manage for now. Love how efficient the IT team has been lately!,General IT,Medium,Service Desk,Positive,Time tracking system user guide not updated after recent upgrade,Pushed MDM profile to phone via Intune. Configured company email and Teams. Verified sync working.,Closed,17-04-2026 02:28,17-04-2026 08:48,Queue for Service Desk — Standard SLA (8 hours)
TKT-1265,"Browser-based ERP tool is incompatible with Chrome 120. Not urgent at all, just planning ahead. This has been going on for days and nobody has helped!",Software/Application,Low,Application Support,Frustrated,Insufficient RAM allocation for Excel 64-bit with large datasets,"Identified runaway background job on HR portal server. Killed process, added resource limits. Load normalized.",Closed,16-04-2026 01:26,17-04-2026 21:42,Queue for Application Support — Respond within 24 hours
TKT-2755,Teams chat messages are showing as 'sending' but never delivered. Can't do any work until this is resolved. Thanks in advance.,Email/Communication,High,Collaboration Team,Neutral,Network jitter exceeding 150ms causing audio packet loss,Created distribution list via Exchange admin center. Added 25 members. Test email delivered to all.,Closed,08-04-2026 00:47,08-04-2026 02:22,Assign to Collaboration Team — Target 2-hour resolution
TKT-2476,Locked out of my account after too many wrong password attempts. — THIS IS BLOCKING ALL WORK! Please help ASAP!,Account/Access,Critical,IAM Team,Urgent,Access request not processed — missing manager approval in workflow,Reset NTFS permissions on shared folder. Re-applied inheritance. User confirmed access to all subfolders.,Closed,12-03-2026 08:08,12-03-2026 09:15,IMMEDIATE ESCALATION to IAM Team — Page on-call engineer
TKT-2997,Can someone set up a new Teams channel for Project Athena? Not super urgent but affecting my productivity. Let me know if you need more info.,Email/Communication,Medium,Collaboration Team,Neutral,Teams service regional outage affecting message delivery,Added user to shared mailbox via PowerShell Add-MailboxPermission. Restarted Outlook. Access confirmed.,Closed,03-06-2026 06:20,03-06-2026 16:05,Queue for Collaboration Team — Standard SLA (8 hours)
